Code|Label|Description|Year|Reference
Earth|Earth|The only planet known to support life, with oceans and land.|1543|De Revolutionibus Orbium Coelestium, Nicolás Copérnico
Jup|Jupiter|Massive gas giant with a Great Red Spot storm.||
Mars|Mars|Red, dusty, and potentially home to ancient water.||
Mer|Mercury|Small, rocky, and closest to the Sun||
Nep|Neptune|Cold, blue ice giant with strong winds.|1846|Urbain LeVerrier, “Account of the Discovery of the Planet of Le Verrier at Berlin”, Monthly Notices of the Royal Astronomical Society, Vol. 7, No. 9, pp. 153–157.
Pluto|Pluto|A small, icy dwarf planet in the Kuiper Belt, with a highly elliptical orbit.|1930|Tombaugh, Clyde W.; «The Search for the Ninth Planet, Pluto.» Astronomical Society of the Pacific Leaflets, Vol. 5, No. 209 , pp. 73-80.
Sat|Saturn|Gas giant with prominent, beautiful rings.||
Uran|Uranus|Ice giant tilted on its side, with faint rings.|1781|Herschel, William; «Account of a Comet. By Mr. Herschel, F. R. S.; communicated by Dr. Watson, Jun. of Bath, F. R. S.» Philosophical Transactions of the Royal Society of London, Vol. 71, pp. 492-501.
Ven|Venus|Hot, with thick clouds and extreme greenhouse effect.||
